path,width,height,mode,bytes,sha256
art/tactical-sprites/icons/afei_body_C03_dead.png,108,76,RGBA,10570,256450be79ee86ce6fc449102c10f79c2e87a8fc40fd610db25abd6c33ce840d
art/tactical-sprites/icons/afei_body_C04.png,108,76,RGBA,16239,227e0aa5baabde97058b29cda7c57cf52e354b214257d34ed9a3ec3ef08892e8
art/tactical-sprites/icons/afei_body_C04_dead.png,108,76,RGBA,10545,ebd59f2dde9148c8f27fb2ef5e5941fbca8200c76f9bc48067b5b1647a0ec932
art/tactical-sprites/icons/afei_body_C05.png,108,76,RGBA,18095,fca77bcfa1b3c47f77e4d47fc9dd687f2b125e2f52e10afe08077de631d5f08e
art/tactical-sprites/icons/afei_body_C05_dead.png,108,76,RGBA,11498,0db08597dc9ec10a6fdd9322ba70807900d35417c23e9fd6c237f73cce33dac0
art/tactical-sprites/icons/afei_body_C06.png,108,76,RGBA,17793,017982b0a46377cc515a865e4f0053d169b9d4ed6518c540a71af7c72bcd7b5d
art/tactical-sprites/icons/afei_body_C06_dead.png,108,76,RGBA,10721,71c81d012bf70742d9557640d76ba99ea30b86b57793b8ff141b29817b1c6b3e
art/tactical-sprites/icons/afei_figure_C01.png,114,142,RGBA,26942,c9bd89f0fac48cd1cafa2c6a8a9264801e7ce6f67334e7203c0c940f5bfa3a7e
art/tactical-sprites/icons/afei_figure_C01_dead.png,114,142,RGBA,26942,c9bd89f0fac48cd1cafa2c6a8a9264801e7ce6f67334e7203c0c940f5bfa3a7e
art/tactical-sprites/icons/afei_figure_C01_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_figure_C02.png,114,142,RGBA,27948,c3278f9db20840f473f843e3a17ad33a72759747b4d0c1b8327cf5f4d52ccf15
art/tactical-sprites/icons/afei_figure_C02_dead.png,114,142,RGBA,27948,c3278f9db20840f473f843e3a17ad33a72759747b4d0c1b8327cf5f4d52ccf15
art/tactical-sprites/icons/afei_figure_C02_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_figure_C03.png,114,142,RGBA,25720,8bdc06fab5d307cf5eb21a0fab9888f5c5c674f9c3150249964953c00b05c2e5
art/tactical-sprites/icons/afei_figure_C03_dead.png,114,142,RGBA,25720,8bdc06fab5d307cf5eb21a0fab9888f5c5c674f9c3150249964953c00b05c2e5
art/tactical-sprites/icons/afei_figure_C03_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_figure_C04.png,114,142,RGBA,23389,4dd00c20cb3abf5414a18c4fef88e41af3c4193ba83b8867236caa0f50d972ce
art/tactical-sprites/icons/afei_figure_C04_dead.png,114,142,RGBA,23389,4dd00c20cb3abf5414a18c4fef88e41af3c4193ba83b8867236caa0f50d972ce
art/tactical-sprites/icons/afei_figure_C04_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_figure_C05.png,114,142,RGBA,26382,ebec5a6c691b5905e35a986e25dbe8b93179788a2106e7a9c2a1c4cadff89a4b
art/tactical-sprites/icons/afei_figure_C05_dead.png,114,142,RGBA,26382,ebec5a6c691b5905e35a986e25dbe8b93179788a2106e7a9c2a1c4cadff89a4b
art/tactical-sprites/icons/afei_figure_C05_injured.png,114,142,RGBA,143,b178448dfe0d8cb67e58b2ec2a385cc62f886ef86713460956fc6f50b39af964
art/tactical-sprites/icons/afei_figure_C06.png,114,142,RGBA,24264,ff9497320f226a1e0b3958cb7542af488c588f0b9830ea39e1c4c61f463baafb
